SK_ID_CURR,PREDICT
100001.0,0.91
100005.0,0.95
100013.0,0.89
100028.0,0.9
100038.0,0.99
100042.0,0.72
100057.0,0.94
100065.0,0.86
100066.0,0.93
100067.0,0.97
100074.0,0.91
100090.0,0.98
100091.0,1.0
100092.0,0.97
100106.0,0.84
100107.0,0.84
100109.0,0.97
100117.0,0.95
100128.0,0.99
100141.0,0.88
100150.0,0.86
100168.0,0.93
100169.0,0.88
100170.0,0.99
100171.0,0.98
100172.0,0.91
100184.0,0.95
100187.0,0.83
100212.0,0.92
100222.0,0.95
100223.0,0.89
100232.0,0.91
100241.0,0.85
100245.0,0.94
100253.0,0.87
100256.0,0.8
100271.0,0.92
100278.0,0.9
100280.0,0.86
100306.0,0.96
100311.0,1.0
100312.0,0.72
100330.0,0.86
100331.0,0.77
100352.0,0.94
100358.0,0.94
100367.0,0.87
100382.0,0.66
100384.0,0.92
100385.0,0.96
100386.0,1.0
100399.0,0.88
100404.0,0.95
100416.0,0.99
100422.0,0.94
100426.0,0.95
100438.0,0.84
100444.0,0.97
100445.0,0.85
100446.0,0.93
100447.0,0.98
100450.0,0.98
100466.0,0.96
100483.0,0.88
100484.0,0.74
100494.0,0.73
100510.0,0.96
100512.0,0.71
100517.0,0.9
100548.0,0.77
100551.0,1.0
100552.0,0.93
100553.0,0.93
100561.0,0.71
100568.0,0.83
100569.0,0.96
100591.0,0.91
100592.0,0.78
100602.0,1.0
100607.0,0.86
100613.0,0.89
100617.0,1.0
100618.0,0.82
100622.0,0.98
100625.0,0.96
100677.0,0.84
100699.0,0.86
100702.0,0.97
100711.0,0.87
100729.0,0.99
100740.0,1.0
100744.0,0.98
100745.0,1.0
100747.0,0.84
100751.0,0.92
100752.0,0.97
100753.0,0.96
100754.0,1.0
100760.0,0.79
100762.0,0.99
100763.0,0.87
100765.0,0.89
100770.0,0.87
100772.0,0.5
100777.0,0.99
100791.0,0.97
100792.0,0.91
100797.0,0.89
100823.0,0.95
100826.0,0.97
100830.0,0.92
100836.0,1.0
100872.0,0.87
100910.0,0.95
100913.0,0.84
100918.0,0.88
100931.0,0.65
100952.0,0.99
100953.0,0.86
100965.0,1.0
100970.0,0.98
100982.0,1.0
100983.0,0.93
100984.0,0.79
100987.0,0.93
100997.0,1.0
100998.0,0.92
101002.0,0.94
101005.0,1.0
101008.0,0.96
101020.0,1.0
101021.0,0.96
101024.0,0.8
101025.0,0.97
101026.0,0.92
101031.0,0.86
101041.0,0.88
101051.0,0.93
101055.0,0.96
101056.0,1.0
101057.0,0.92
101064.0,0.85
101079.0,0.97
101087.0,0.82
101090.0,0.95
101092.0,0.99
101097.0,1.0
101099.0,0.78
101107.0,1.0
101118.0,0.99
101125.0,0.99
101126.0,0.8
101128.0,0.8
101136.0,0.99
101140.0,0.71
101149.0,0.82
101160.0,0.83
101169.0,0.92
101181.0,0.86
101186.0,0.94
101190.0,0.95
101193.0,1.0
101194.0,0.93
101198.0,0.86
101200.0,0.58
101204.0,0.89
101211.0,0.99
101213.0,0.99
101223.0,0.76
101225.0,0.93
101237.0,0.96
101243.0,0.99
101244.0,0.94
101258.0,0.96
101259.0,0.97
101268.0,0.96
101269.0,0.92
101271.0,0.96
101279.0,0.92
101281.0,0.97
101287.0,0.95
101292.0,0.96
101294.0,0.88
101296.0,0.97
101297.0,1.0
101299.0,0.77
101301.0,0.84
101305.0,0.98
101308.0,0.84
101318.0,0.87
101327.0,0.94
101329.0,0.88
101332.0,0.95
101337.0,1.0
101343.0,0.87
101345.0,0.99
101346.0,0.87
101353.0,0.71
101354.0,1.0
101355.0,0.93
101356.0,0.96
101362.0,0.99
101363.0,0.95
101365.0,0.56
101366.0,0.99
101367.0,0.95
101368.0,0.7
101374.0,0.81
101380.0,0.99
101383.0,0.8
101398.0,0.86
101399.0,1.0
101401.0,1.0
101412.0,0.99
101426.0,0.91
101427.0,0.94
101428.0,0.92
101429.0,0.94
101434.0,0.96
101440.0,1.0
101448.0,1.0
101449.0,0.86
101465.0,0.57
101467.0,0.81
101472.0,0.99
101478.0,0.89
101497.0,0.94
101504.0,0.87
101547.0,1.0
101548.0,0.87
101555.0,0.71
101570.0,0.92
101572.0,0.95
101578.0,0.82
101580.0,0.9
101588.0,1.0
101602.0,0.75
101610.0,0.88
101614.0,0.87
101616.0,1.0
101643.0,1.0
101644.0,0.85
101649.0,0.94
101650.0,0.95
101665.0,0.91
101667.0,1.0
101669.0,0.93
101674.0,0.88
101675.0,0.97
101678.0,1.0
101682.0,0.96
101686.0,0.99
101697.0,0.99
101700.0,0.98
101711.0,0.9
101714.0,0.69
101715.0,1.0
101728.0,0.96
101732.0,1.0
101757.0,0.92
101758.0,0.8
101759.0,0.96
101762.0,0.85
101764.0,0.89
101780.0,0.98
101784.0,0.99
101789.0,0.94
101816.0,0.99
101819.0,0.87
101827.0,0.82
101863.0,0.84
101867.0,0.93
101870.0,0.85
101873.0,0.99
101878.0,1.0
101879.0,0.84
101880.0,0.97
101887.0,1.0
